"model";"scenario";"Category";"Scope";"region";"Baseline";"variable";"value";"unit";"period"
"*COPPE-MSB_v2.0";"NPi2020_low_V4";"Carbon budget 1000";"national";"BRA";"NoPOL_V4";"Emissions|CO2";562.132776;"MtCO2";2050
"*COPPE-MSB_v2.0";"NPi2020_verylow_V4";"Carbon budget 400";"national";"BRA";"NoPOL_V4";"Emissions|CO2";560.370266;"MtCO2";2050
"*IPAC-AIM/technology V1.0";"INDC_V4";"NDC";"national";"CHN";"NoPOL_V4";"Emissions|CO2";8127.06221964839;"MtCO2";2050
"*China TIMES";"INDC_V4";"NDC";"national";"CHN";NA;"Emissions|CO2";7834.4944311252;"MtCO2";2050
"AIM V2.1";"INDCi_V4";"NDC";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";6565.1344;"MtCO2";2050
"COPPE-COFFEE 1.0";"INDCi_V4";"NDC";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";7060.50658;"MtCO2";2050
"GEM-E3";"INDCi_V4";"NDC";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";8655.25533534116;"MtCO2";2050
"IMAGE 3.0";"INDCi_V4";"NDC";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";8965.2273771171;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"INDCi_V4";"NDC";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";8408.39105201953;"MtCO2";2050
"POLES CDL";"INDCi_V4";"NDC";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";8771.205421875;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"INDCi_V4";"NDC";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";7803.563;"MtCO2";2050
"WITCH2016";"INDCi_V4";"NDC";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";8937.96033834495;"MtCO2";2050
"*IPAC-AIM/technology V1.0";"NoPOL_V4";"No policy";"national";"CHN";"-";"Emissions|CO2";8127.06221964839;"MtCO2";2050
